,w1,w2,w3,w4,w5,sim
0,Athens,Greece,Baghdad,Iraq,Iraqi,0.635187029838562
1,Athens,Greece,Bangkok,Thailand,Thailand,0.7137669920921326
2,Athens,Greece,Beijing,China,China,0.7235778570175171
3,Athens,Greece,Berlin,Germany,Germany,0.6734622716903687
4,Athens,Greece,Bern,Switzerland,Switzerland,0.4919748306274414
5,Athens,Greece,Cairo,Egypt,Egypt,0.7527809739112854
6,Athens,Greece,Canberra,Australia,Australia,0.583732545375824
7,Athens,Greece,Hanoi,Vietnam,Viet_Nam,0.6276341676712036
8,Athens,Greece,Havana,Cuba,Cuba,0.6460990905761719
9,Athens,Greece,Helsinki,Finland,Finland,0.68999844789505
10,Athens,Greece,Islamabad,Pakistan,Pakistan,0.7233326435089111
11,Athens,Greece,Kabul,Afghanistan,Afghan,0.6160916090011597
12,Athens,Greece,London,England,Britain,0.5646188259124756
13,Athens,Greece,Madrid,Spain,Spain,0.703661322593689
14,Athens,Greece,Moscow,Russia,Russia,0.7382973432540894
15,Athens,Greece,Oslo,Norway,Norway,0.6470744013786316
16,Athens,Greece,Ottawa,Canada,Canada,0.5912168622016907
17,Athens,Greece,Paris,France,France,0.6724624633789062
18,Athens,Greece,Rome,Italy,Italy,0.682619035243988
19,Athens,Greece,Stockholm,Sweden,Sweden,0.6757243871688843
20,Athens,Greece,Tehran,Iran,Iran,0.7671369910240173
21,Athens,Greece,Tokyo,Japan,Japan,0.7256094813346863
22,Baghdad,Iraq,Bangkok,Thailand,Thailand,0.6745355129241943
23,Baghdad,Iraq,Beijing,China,China,0.6915649175643921
24,Baghdad,Iraq,Berlin,Germany,Germany,0.6057409048080444
25,Baghdad,Iraq,Bern,Switzerland,coach_Bobby_Curlings,0.4347156882286072
26,Baghdad,Iraq,Cairo,Egypt,Egypt,0.6848487854003906
27,Baghdad,Iraq,Canberra,Australia,Mr_Rudd,0.6186109185218811
28,Baghdad,Iraq,Hanoi,Vietnam,Vietnam,0.7493551969528198
29,Baghdad,Iraq,Havana,Cuba,Cuba,0.7133255004882812
30,Baghdad,Iraq,Helsinki,Finland,Finland,0.5972561836242676
31,Baghdad,Iraq,Islamabad,Pakistan,Pakistan,0.7466936707496643
32,Baghdad,Iraq,Kabul,Afghanistan,Afghanistan,0.8359360098838806
33,Baghdad,Iraq,London,England,Britain,0.5853632688522339
34,Baghdad,Iraq,Madrid,Spain,Spain,0.6144676804542542
35,Baghdad,Iraq,Moscow,Russia,Russia,0.7236211895942688
36,Baghdad,Iraq,Oslo,Norway,Norway,0.5987579822540283
37,Baghdad,Iraq,Ottawa,Canada,Prime_Minister_Jean_Chrétien,0.5704855918884277
38,Baghdad,Iraq,Paris,France,France,0.6203721761703491
39,Baghdad,Iraq,Rome,Italy,Italy,0.5362657904624939
40,Baghdad,Iraq,Stockholm,Sweden,Sweden,0.5907803177833557
41,Baghdad,Iraq,Tehran,Iran,Iran,0.8114986419677734
42,Baghdad,Iraq,Tokyo,Japan,Japan,0.7056296467781067
43,Baghdad,Iraq,Athens,Greece,Greece,0.5793530344963074
44,Bangkok,Thailand,Beijing,China,China,0.8263983726501465
45,Bangkok,Thailand,Berlin,Germany,Germany,0.729519784450531
46,Bangkok,Thailand,Bern,Switzerland,Switzerland,0.5047769546508789
47,Bangkok,Thailand,Cairo,Egypt,Egypt,0.8118714690208435
48,Bangkok,Thailand,Canberra,Australia,Australia,0.7154911160469055
49,Bangkok,Thailand,Hanoi,Vietnam,Viet_Nam,0.7700590491294861
50,Bangkok,Thailand,Havana,Cuba,Cuba,0.800740659236908
51,Bangkok,Thailand,Helsinki,Finland,Finland,0.7515274286270142
52,Bangkok,Thailand,Islamabad,Pakistan,Pakistan,0.7976753115653992
53,Bangkok,Thailand,Kabul,Afghanistan,Afghanistan,0.6666889190673828
54,Bangkok,Thailand,London,England,Britain,0.6576252579689026
55,Bangkok,Thailand,Madrid,Spain,Spain,0.765529990196228
56,Bangkok,Thailand,Moscow,Russia,Russia,0.8613657355308533
57,Bangkok,Thailand,Oslo,Norway,Norway,0.7142737507820129
58,Bangkok,Thailand,Ottawa,Canada,Canada,0.6684818267822266
59,Bangkok,Thailand,Paris,France,France,0.7388160228729248
60,Bangkok,Thailand,Rome,Italy,Italy,0.6863130331039429
61,Bangkok,Thailand,Stockholm,Sweden,Sweden,0.7587180733680725
62,Bangkok,Thailand,Tehran,Iran,Iran,0.8363437652587891
63,Bangkok,Thailand,Tokyo,Japan,Japan,0.8282634615898132
64,Bangkok,Thailand,Athens,Greece,Greece,0.6765022873878479
65,Bangkok,Thailand,Baghdad,Iraq,Iraqi,0.6885136365890503
66,Beijing,China,Berlin,Germany,Germany,0.7232257723808289
67,Beijing,China,Bern,Switzerland,Bern_NC,0.4655816853046417
68,Beijing,China,Cairo,Egypt,Egypt,0.7653075456619263
69,Beijing,China,Canberra,Australia,Australia,0.7234394550323486
70,Beijing,China,Hanoi,Vietnam,Viet_Nam,0.7793146967887878
71,Beijing,China,Havana,Cuba,Cuba,0.7189655900001526
72,Beijing,China,Helsinki,Finland,Finland,0.7141392827033997
73,Beijing,China,Islamabad,Pakistan,Pakistan,0.8062407374382019
74,Beijing,China,Kabul,Afghanistan,Afghan,0.6770888566970825
75,Beijing,China,London,England,UK,0.630479633808136
76,Beijing,China,Madrid,Spain,Spain,0.7320305109024048
77,Beijing,China,Moscow,Russia,Russia,0.8579801321029663
78,Beijing,China,Oslo,Norway,Norway,0.6628976464271545
79,Beijing,China,Ottawa,Canada,Canada,0.6537172198295593
80,Beijing,China,Paris,France,France,0.7109121680259705
81,Beijing,China,Rome,Italy,Italy,0.663748562335968
82,Beijing,China,Stockholm,Sweden,Sweden,0.7026647925376892
83,Beijing,China,Tehran,Iran,Iran,0.826274573802948
84,Beijing,China,Tokyo,Japan,Japan,0.8236701488494873
85,Beijing,China,Athens,Greece,Greece,0.6515147686004639
86,Beijing,China,Baghdad,Iraq,Mosul,0.7041885256767273
87,Beijing,China,Bangkok,Thailand,Thailand,0.8047244548797607
88,Berlin,Germany,Bern,Switzerland,Switzerland,0.609531819820404
89,Berlin,Germany,Cairo,Egypt,Egypt,0.6912306547164917
90,Berlin,Germany,Canberra,Australia,Australia,0.7485095858573914
91,Berlin,Germany,Hanoi,Vietnam,Viet_Nam,0.6875089406967163
92,Berlin,Germany,Havana,Cuba,Cuba,0.6961181163787842
93,Berlin,Germany,Helsinki,Finland,Finland,0.7654494047164917
94,Berlin,Germany,Islamabad,Pakistan,Pakistan,0.7597626447677612
95,Berlin,Germany,Kabul,Afghanistan,Afghan,0.6450541615486145
96,Berlin,Germany,London,England,UK,0.6597434282302856
97,Berlin,Germany,Madrid,Spain,Spain,0.7768210768699646
98,Berlin,Germany,Moscow,Russia,Russia,0.8107380867004395
99,Berlin,Germany,Oslo,Norway,Norway,0.7291736602783203
100,Berlin,Germany,Ottawa,Canada,Canada,0.6773226857185364
101,Berlin,Germany,Paris,France,France,0.7884092926979065
102,Berlin,Germany,Rome,Italy,Italy,0.7509608268737793
